session id;brick height;paddle speed;ball speed;paddle length;ball size;time;paddle distance;ballHits;ballBounces;amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction
6;3.473508;19.64782;4.204638;20.01003;2.713202;2.779998;63.20405;0;2;26;0;3;194.3887;0.0321772;1.001356;3;4;1;1;9.25
7;4.692141;31.79937;8.968863;30;3.800975;6.459995;165.2046;2;7;23;0;3;194.3887;0.0321772;1.001356;3;4;2;4;12
8;4.318949;15;3.871834;10;2.693154;14.88015;130.7481;3;9;22;0;3;194.3887;0.0321772;1.001356;3;4;0;3;9
9;5;15;10.30808;30;5.399854;1.399999;11;0;3;25;0;3;194.3887;0.0321772;1.001356;3;3;0;2;7.75
10;3.754233;31.81581;3.991368;26.36954;3.418595;66.04093;1455.354;12;33;11;0;3;194.3887;0.0321772;1.001356;4;3;3;2;13
1;5;27.7681;6.410426;30;2.391378;74.31954;1128.849;16;51;4;0;5;458.9761;0.006679907;1.126815;4;2;3;4;13.25
2;3.629327;23.6811;3.136319;30;3.630994;101.315;964.8318;27;56;1;0;5;458.9761;0.006679907;1.126815;3;2;4;5;13.5
3;2.975526;24.73424;11.05155;29.13568;5.127047;13.88013;216.7984;8;18;18;0;5;458.9761;0.006679907;1.126815;1;1;4;5;9.75
4;5;16.75019;11.22833;22.97015;2;2.899998;47.83585;1;5;25;0;5;458.9761;0.006679907;1.126815;2;2;1;4;7.75
5;5;35;12;30;5.679217;17.94022;425.8351;5;25;18;0;5;458.9761;0.006679907;1.126815;2;3;3;5;11.5
6;3.21894;32.75888;11.03261;26.79493;4.432327;0.9999996;26.86568;0;3;25;0;5;458.9761;0.006679907;1.126815;2;2;0;3;6
7;3.870976;19.33892;3.93075;30;2.09146;152.9759;807.4738;33;79;0;1;5;458.9761;0.006679907;1.126815;3;3;4;3;13.25
8;4.274626;35;12;30;2.532614;6.639995;165.8695;2;9;22;0;5;458.9761;0.006679907;1.126815;2;2;1;5;8.25
9;1;26.6105;2;22.54487;3.099843;46.74088;617.7362;19;33;9;0;5;458.9761;0.006679907;1.126815;3;1;5;5;14
10;1;15;12;26.83377;2;2.339998;20.35094;2;5;24;0;5;458.9761;0.006679907;1.126815;2;3;2;4;9.75
1;2.858278;15;2.105067;20.55444;5.173667;11.68008;91.60005;4;6;24;0;4;172.931;0.009915123;1.261978;1;1;2;5;8.5
2;5;29.92374;4.166492;10;6;3.399997;57.18103;0;2;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
3;3.92811;22.49172;4.073346;27.61973;6;33.88058;483.829;11;21;15;0;4;172.931;0.009915123;1.261978;2;0;4;5;9
4;5;26.38611;3.713478;14.77032;2.006977;4.019997;80.25502;0;3;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
5;3.188792;35;2.687643;20.70041;6;20.76028;540.2276;29;6;24;0;4;172.931;0.009915123;1.261978;1;0;3;5;7.5
6;1;15;7.367834;24.51473;5.008676;27.94045;323.8997;13;39;8;0;4;172.931;0.009915123;1.261978;4;2;5;5;14.5
7;2.150647;33.20488;3.386827;13.97091;5.719854;2.479998;50.70468;0;2;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
8;5;24.44322;12;23.03704;4.467269;1.259999;33.90994;0;3;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
9;5;35;12;30;3.825202;1.239999;33.75546;0;2;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
10;5;35;7.473917;11.61743;2;2.039999;74.37749;0;3;26;0;4;172.931;0.009915123;1.261978;3;2;1;1;7.5
1;5;19.3865;8.74872;15.54375;4.382136;12.24009;130.3362;3;12;22;0;6;380.905;0.009417377;1.263968;2;2;2;5;9.5
2;3.797897;27.14399;12;20.95427;4.011973;1.06;14.33406;0;2;26;0;6;380.905;0.009417377;1.263968;2;2;0;2;5.5
3;4.103771;27.60907;2.165809;17.18065;2.462757;61.26121;671.7974;10;20;14;0;6;380.905;0.009417377;1.263968;4;2;4;4;14.5
4;4.164145;15;9.016624;30;3.50334;63.50126;593.7582;20;67;0;1;6;380.905;0.009417377;1.263968;4;3;4;4;15.25
5;3.243203;34.24033;2;22.23611;2.676968;37.56067;707.2089;5;15;20;0;6;380.905;0.009417377;1.263968;3;1;3;4;11
6;3.851445;19.8787;3.930169;30;4.025909;116.3125;719.7898;32;76;0;1;6;380.905;0.009417377;1.263968;4;3;4;4;15.25
7;3.286573;35;5.918314;30;2;6.879994;119;3;4;24;0;6;380.905;0.009417377;1.263968;2;1;2;5;8.75
8;5;27.256;2.573447;22.2749;5.829599;144.134;1906.963;46;77;0;1;6;380.905;0.009417377;1.263968;4;2;4;4;14.5
9;5;18.40685;12;11.80344;6;1.999999;21.9892;2;2;26;0;6;380.905;0.009417377;1.263968;2;1;2;3;7.75
10;3.807564;27.20891;5.899358;30;2.89248;77.41902;897.5466;16;56;5;0;6;380.905;0.009417377;1.263968;4;2;4;4;14.5
1;2.222716;16.83637;12;23.51589;2.240407;0.7999998;19.46948;0;2;26;0;1;214.7455;0.03755155;1.075172;1;2;0;2;4
2;5;17.0846;12;30;4.313287;1.219999;17.63191;0;3;25;0;1;214.7455;0.03755155;1.075172;1;2;0;3;4.5
3;1.94549;15;9.169783;30;2;0.9799996;19.69093;0;2;26;0;1;214.7455;0.03755155;1.075172;1;2;0;2;4
4;3.795094;30.14555;2.882765;10;5.904072;41.28075;798.3268;19;17;19;0;1;214.7455;0.03755155;1.075172;5;1;5;5;17
5;5;28.61841;2.975512;23.47257;2;17.0602;286.4119;1;6;25;0;1;214.7455;0.03755155;1.075172;2;2;1;4;7.75
6;1;19.84372;7.551349;30;4.276913;4.759996;61.53217;3;5;24;0;1;214.7455;0.03755155;1.075172;1;1;2;4;6.75
7;3.484277;32.80252;12;14.20227;2;1.04;31.34962;0;2;26;0;1;214.7455;0.03755155;1.075172;1;2;0;2;4
8;5;29.8349;4.347479;27.9253;2.805443;3.379997;65.4587;0;3;25;0;1;214.7455;0.03755155;1.075172;1;2;0;3;4.5
9;4.740885;30.6542;2;26.81652;2.318287;15.34016;327.5399;2;6;24;0;1;214.7455;0.03755155;1.075172;2;2;1;4;7.75
10;5;33.86977;10.35303;10;2.175266;1.459999;42.64562;0;3;26;0;1;214.7455;0.03755155;1.075172;1;2;0;2;4
1;1;35;12;19.75592;3.439245;4.279997;100.4061;4;9;21;0;2;397.4984;0.009796236;1.207537;3;3;3;1;9.5
2;5;15;2;30;4.720948;227.5518;1015.708;46;95;0;1;2;397.4984;0.009796236;1.207537;3;3;2;3;11.5
3;3.907943;28.11746;2;10;3.169392;30.3005;233.35;3;7;23;0;2;397.4984;0.009796236;1.207537;2;2;2;1;6.75
4;4.13995;29.08781;8.146976;29.69089;6;68.36054;1234.443;25;63;2;0;2;397.4984;0.009796236;1.207537;4;2;5;3;12.25
5;5;21.8337;8.406028;30;2;1.819999;30.71134;0;2;26;0;2;397.4984;0.009796236;1.207537;3;2;3;1;8
6;1.996973;35;5.36958;30;2;6.599995;150.792;2;7;23;0;2;397.4984;0.009796236;1.207537;3;2;4;3;11
7;3.638309;31.67282;2;30;4.736995;49.84095;847.6544;13;25;12;0;2;397.4984;0.009796236;1.207537;4;0;3;3;8.25
8;5;16.13672;11.38032;12.89367;4.071749;2.979998;41.03657;2;5;25;0;2;397.4984;0.009796236;1.207537;3;3;3;1;9.5
9;5;21.25393;5.533512;30;5.105454;105.8942;1258.216;37;82;1;0;2;397.4984;0.009796236;1.207537;4;2;4;3;11.75
10;1.065778;15;5.999329;17.29464;3.888896;16.56019;129.1001;11;18;12;0;2;397.4984;0.009796236;1.207537;4;1;2;3;9.25
1;4.673287;26.72195;10.71899;15.50657;6;1.339999;29.07093;2;2;26;0;3;190.6231;0.03504384;1.054185;2;2;2;1;7.5
2;4.10389;22.73998;2;30;3.193838;15.66017;151.2909;2;7;23;0;3;190.6231;0.03504384;1.054185;3;3;1;3;9.5
3;2.35935;15;2;30;6;53.08102;500.3518;17;41;6;0;3;190.6231;0.03504384;1.054185;4;2;3;3;12.75
4;3.004391;26.07763;8.893285;20.96199;3.712853;3.699997;87.73294;1;5;25;0;3;190.6231;0.03504384;1.054185;3;4;2;3;11.5
5;5;30.58092;2;28.02007;3.490959;32.10054;862.4572;7;9;22;0;3;190.6231;0.03504384;1.054185;2;1;2;2;7.25
6;5;21.03728;5.422153;30;2;12.98011;158.2901;3;7;23;0;3;190.6231;0.03504384;1.054185;3;3;1;2;9
